Id,SalePrice
1461,120976.4153077679
1462,157008.80866168634
1463,187058.1117123635
1464,190240.2791940186
1465,174886.68476309313
1466,171430.84925033836
1467,174651.962176112
1468,168547.2486524632
1469,179147.7095022253
1470,119537.04916848337
1471,191775.36267281775
1472,90871.77038350036
1473,97886.73664615495
1474,150414.18167046385
1475,133067.83853772344
1476,372490.99384092545
1477,248562.77111321624
1478,282093.1864247456
1479,243616.21859280832
1480,486176.4078674211
1481,354974.17753095547
1482,206221.9250773099
1483,177015.40898339418
1484,165018.5011163493
1485,175577.13326813225
1486,199935.9524455785
1487,383943.6337022891
1488,229640.60708831903
1489,216970.19530459598
1490,217210.2819514415
1491,183100.4959164991
1492,94615.91086839193
1493,180724.70820196002
1494,278296.2027825862
1495,285164.3648759619
1496,242543.6061123587
1497,179323.85086588704
1498,156095.99128745723
1499,155656.05784212964
1500,155105.2521632195
1501,177393.45028214072
1502,149690.8634786343
1503,290163.18862158986
1504,232903.40606222293
1505,227103.9289805629
1506,178454.64545733656
1507,243014.67715414168
1508,193373.29942511825
1509,163954.75935233876
1510,147251.46631542858
1511,143034.6053074582
1512,163064.4467131222
1513,151253.09054842984
1514,169721.22524304868
1515,194530.93420843928
1516,159769.14806903442
1517,160878.3672506067
1518,131622.70027070274
1519,229756.93912700712
1520,134946.59502495785
1521,139765.04273402074
1522,167281.98947328213
1523,116654.43670309677
1524,122762.65896182222
1525,128279.72692073323
1526,125096.29752758943
1527,99344.96609112716
1528,125986.68569818966
1529,151362.9879718789
1530,175248.710474587
1531,96249.3789156914
1532,94041.21463834192
1533,137182.70631246094
1534,118351.08768731203
1535,157816.10493702654
1536,111102.07227817926
1537,65050.699389893096
1538,169440.45256589263
1539,185177.90314148949
1540,96641.76800310312
1541,151374.6889534282
1542,137786.48331089038
1543,234984.80616548294
1544,72336.55359772095
1545,106129.5872955729
1546,129560.84108118844
1547,144117.38168115023
1548,130992.7599997621
1549,117570.75728485333
1550,149268.7880935115
1551,107986.86106237903
1552,132520.9916412149
1553,148592.7207466443
1554,115082.30409439563
1555,169900.5494197776
1556,77794.53682573006
1557,108225.67226160488
1558,86248.1271018327
1559,72285.99099758796
1560,134195.44332073163
1561,133306.0001987927
1562,123823.13411612797
1563,121567.6027450938
1564,150554.1673039664
1565,157254.714158977
1566,226672.82308713475
1567,69357.25092439301
1568,225160.32775171468
1569,149876.47641279697
1570,132712.7279689449
1571,123407.15297973246
1572,147801.19986982082
1573,230915.23092423752
1574,108327.13887552255
1575,214265.80446587614
1576,231620.28917376202
1577,196346.88430906893
1578,151569.5107069753
1579,147081.06821685215
1580,187257.94963182314
1581,164389.9717136218
1582,126855.91298271003
1583,318485.4283550449
1584,238647.70892710992
1585,140124.09651723798
1586,66904.99152036007
1587,98827.47040792363
1588,158879.0768610444
1589,99646.12345554252
1590,137019.2333937024
1591,99718.77310780562
1592,109814.14523003373
1593,116307.306996197
1594,130344.48213486299
1595,110236.92959211295
1596,248199.161121477
1597,187692.04518992896
1598,196912.8347480049
1599,168001.40827465383
1600,170421.49728163652
1601,62129.51176789
1602,113607.06968852479
1603,69485.87944843977
1604,261781.45848510004
1605,238175.14607786314
1606,165898.2646839537
1607,142206.36641944005
1608,206070.37363257873
1609,187607.03994672312
